celltype,genes,res,gene_symbol
AST,1636,0.9460527491276804,TGFB2
AST,1638,0.8739044191472525,LYPLAL1
AST,1641,0.7926184472024032,SLC30A10
AST,1642,0.8019933630257631,EPRS
AST,1644,0.7203916453706267,IARS2
AST,1645,0.8836578421860752,RAB3GAP2
AST,1646,0.870696009334293,MARK1
AST,1648,0.8706342823661573,MARC2
AST,1649,0.7256614413796116,MARC1
AST,1656,0.8041496702191206,MIA3
AST,1660,0.7626660239031994,DISP1
AST,1664,0.9132315934233841,CAPN2
AST,1665,0.9089980754116139,TP53BP2
AST,1666,0.7901151519753713,FBXO28
AST,1668,0.8261087117696947,NVL
AST,1670,0.8242131309543004,WDR26
AST,1671,0.8727692539280018,CNIH3
AST,1674,0.8937796441000095,ENAH
AST,1675,0.7031053259420421,SRP9
AST,1676,0.8964484385216773,EPHX1
AST,1677,0.7616499027676329,TMEM63A
AST,1682,0.7486195619726704,ACBD3
AST,1686,0.780338898299967,STUM
AST,1687,0.9625321377833662,ITPKB
AST,1689,0.9449611011396801,CDC42BPA
AST,1690,0.8291151789575334,ZNF678
AST,1707,0.7586525632382488,RHOU
AST,1708,0.8530477305410542,RAB4A
AST,1711,0.752859247916653,NUP133
AST,1712,0.7748042126698603,ABCB10
AST,1713,0.7432884472153005,TAF5L
AST,1715,0.8930800608930459,GALNT2
AST,1716,0.7613405850848747,PGBD5
AST,1717,0.7024883374449467,COG2
AST,1718,0.907037402948232,AGT
AST,1720,0.8919473009212255,C1orf198
AST,1721,0.8384972750420989,TTC13
AST,1729,0.8044043699690897,EGLN1
AST,1732,0.7348839746305329,SIPA1L2
AST,1734,0.7196652384772051,NTPCR
AST,1735,0.8457707736730354,PCNX2
AST,1739,0.8517767441542133,TARBP1
AST,1741,0.7060108732521447,IRF2BP2
AST,1748,0.9198944097887102,ARID4B
AST,1750,0.8164997319037935,B3GALNT2
AST,1752,0.889241402323871,LYST
AST,1754,0.8226831966631597,GPR137B
AST,1755,0.7039359167081608,ERO1B
AST,1761,0.8613711130974238,MTR
AST,1762,0.770197468112587,RYR2
AST,1766,0.9675731544051814,FMN2
AST,1768,0.903688499391837,RGS7
AST,1776,0.8727998991111111,CEP170
AST,1777,0.9280092194800366,SDCCAG8
AST,1778,0.9551941605167837,AKT3
AST,1779,0.7192591398865413,ZBTB18
